frame,dir,touch,is_oos,rolling,triggered,delay,rr_trigger,we,R,label,MFE,MAE,p025,p05
4H,LONG,2025-03-06 17:00:00+00:00,True,True,True,12,2.663463818008235,46.56542133386937,-1.0,SL,0.8973025513943342,4.75145980988539,4.0,8.0
4H,SHORT,2025-03-11 18:15:00+00:00,True,True,True,20,2.763509260849716,63.703068647119096,-1.0,SL,1.2061075310272455,1.0447820299507018,13.0,22.0
4H,SHORT,2025-03-12 08:00:00+00:00,True,True,True,1,2.8778351271377582,57.48919659247387,-1.0,SL,1.1643459208070461,1.197635199770192,0.0,27.0
4H,SHORT,2025-03-14 08:45:00+00:00,True,True,False,999,,69.59051929110595,-1.0,SL,0.7121627989812211,1.2601756972475406,,
4H,LONG,2025-03-16 11:00:00+00:00,True,True,True,20,1.6307435414757516,28.144334233376675,-1.0,SL,2.862929938522869,1.557362991714391,0.0,0.0
4H,LONG,2025-03-17 12:00:00+00:00,True,True,True,15,2.742175157235666,36.90916472171891,-1.0,SL,2.6833944426024456,1.4899341188129438,1.0,7.0
4H,LONG,2025-03-21 13:30:00+00:00,True,True,True,0,2.1132490124341032,27.1095160240816,2.1966413956759148,OPEN,2.675202849554549,0.013720289504045618,0.0,3.0
4H,LONG,2025-03-20 16:15:00+00:00,True,True,True,5,2.9594039277222506,58.90809995625591,2.162406743897465,OPEN,2.7695296290383298,0.7297556323693895,33.0,274.0
4H,LONG,2025-03-22 08:15:00+00:00,True,True,True,1,2.858067723189972,25.077538693271876,3.0,TP3,4.005951293865447,0.49475228517997977,4.0,106.0
4H,LONG,2025-03-26 19:00:00+00:00,True,True,True,1,2.525186813305678,63.6471640993275,-1.0,SL,1.5971283911818346,4.219688514748139,0.0,2.0
4H,LONG,2025-03-26 14:15:00+00:00,True,True,True,2,2.5457619925936723,46.820020461543265,-1.0,SL,1.0431882743338623,4.891554161454643,0.0,22.0
4H,LONG,2025-03-27 11:15:00+00:00,True,True,True,3,2.730763504428763,36.733143056235654,-1.0,SL,0.7257204871526294,5.0512354769685235,10.0,13.0
4H,SHORT,2025-04-01 10:15:00+00:00,True,True,True,1,2.315773557890314,65.2308057141345,-1.0,SL,2.9815503088096786,3.7357900515467017,0.0,4.0
4H,SHORT,2025-03-31 14:00:00+00:00,True,True,True,1,1.7268547437322193,65.81096232123853,-1.0,SL,1.9974173117549014,5.013952508920592,0.0,13.0
4H,SHORT,2025-04-04 08:00:00+00:00,True,True,True,8,2.5800929901503746,63.10781373794907,1.5290922726429625,OPEN,2.1978100066306903,0.11863003553228393,1.0,5.0
4H,SHORT,2025-04-04 07:00:00+00:00,True,True,True,13,2.5638045192843872,59.08127004827495,1.1687591585947628,OPEN,1.7895091853940106,0.23226181283405,3.0,222.0
4H,SHORT,2025-04-05 23:45:00+00:00,True,True,True,8,2.964975365951411,53.4804832101696,3.0,TP3,6.041071081478119,0.2570316546781652,21.0,34.0
4H,SHORT,2025-04-09 20:45:00+00:00,True,True,True,7,2.4134438184927762,59.65902995767708,3.0,TP3,3.9556051245363935,2.3940582744291357,3.0,5.0
4H,SHORT,2025-04-08 01:45:00+00:00,True,True,True,2,2.680114602821356,85.86784104731491,-1.0,SL,2.3382445995202623,2.102156937700415,2.0,16.0
4H,SHORT,2025-04-09 17:15:00+00:00,True,True,False,999,,68.79618227378995,-1.0,SL,1.1497666701440468,2.9442298441716077,,
4H,SHORT,2025-04-09 17:00:00+00:00,True,True,False,999,,74.71692166545357,-1.0,SL,0.38937710867630465,3.4966869507947407,,
4H,SHORT,2025-04-11 00:00:00+00:00,True,True,True,1,2.7237466254414167,61.050260885408335,-1.0,SL,0.19409053851783692,1.7058171263091324,,
4H,LONG,2025-04-16 00:00:00+00:00,True,True,True,7,2.774350855946864,44.95760833107603,1.10339320425441,OPEN,1.2898021018453834,0.26223862428875916,5.0,50.0
4H,LONG,2025-04-15 18:15:00+00:00,True,True,False,999,,45.30831759250039,0.2487774392088714,OPEN,0.9815184522712292,0.7456908452726503,,
4H,LONG,2025-04-16 23:30:00+00:00,True,True,True,5,2.995496985278229,64.98352890245503,2.1300535022798064,OPEN,2.961633780989663,0.33160280706545014,22.0,26.0
