symbol,date,bin,buy_usdt,sell_usdt,net_cvd_usdt,ncvd,buy_count,sell_count
AAVEUSDT,2026-04-17,R2,3818042.6239,5019044.5608,-1201001.9369,-13.590473,1905,2519
AAVEUSDT,2026-04-17,W,0.0,487510.5573,-487510.5573,-100.0,0,3
AAVEUSDT,2026-04-18,M,547378.8281,916644.3856,-369265.5575,-25.222657,26,52
AAVEUSDT,2026-04-18,R1,13145482.1851,12823700.6981,321781.487,1.23909,117698,103014
AAVEUSDT,2026-04-18,R2,5427968.3885,7126788.1714,-1698819.7829,-13.531284,2872,3567
AAVEUSDT,2026-04-19,M,1834740.0318,2306152.7196,-471412.6878,-11.384325,70,117
AAVEUSDT,2026-04-19,R1,20237714.3068,18084903.122,2152811.1848,5.6176,123907,120342
AAVEUSDT,2026-04-19,R2,12282214.7095,13320251.81,-1038037.1005,-4.054442,6438,6500
AAVEUSDT,2026-04-19,W,702580.5617,223779.1648,478801.3969,51.686336,4,1
AAVEUSDT,2026-04-20,M,1551026.4845,1813672.9733,-262646.4888,-7.805942,70,102
AAVEUSDT,2026-04-20,R1,12695855.6171,12674671.5682,21184.0489,0.083499,75049,66443
AAVEUSDT,2026-04-20,R2,10765392.5068,11505307.1717,-739914.6649,-3.322368,5377,5486
AAVEUSDT,2026-04-20,W,0.0,556640.812,-556640.812,-100.0,0,2
AAVEUSDT,2026-04-21,M,849755.2672,587599.1616,262156.1056,18.238793,34,32
AAVEUSDT,2026-04-21,R1,8194401.3237,8432260.5801,-237859.2564,-1.430589,52861,47409
AAVEUSDT,2026-04-21,R2,7858478.4258,6778442.7702,1080035.6556,7.378845,4168,3526
AAVEUSDT,2026-04-21,W,197511.6717,394113.7356,-196602.0639,-33.230835,1,2
AAVEUSDT,2026-04-22,M,859307.7574,589305.3182,270002.4392,18.638686,35,21
AAVEUSDT,2026-04-22,R1,5806111.9986,5974552.5768,-168440.5782,-1.429805,37223,34730
AAVEUSDT,2026-04-22,R2,4834747.7755,4390912.7811,443834.9944,4.810875,2558,2275
AAVEUSDT,2026-04-22,W,0.0,188407.584,-188407.584,-100.0,0,1
AAVEUSDT,2026-04-23,M,348115.0895,397067.6382,-48952.5487,-6.569201,14,23
AAVEUSDT,2026-04-23,R1,6297963.3673,6342642.1932,-44678.8259,-0.353455,37497,34157
AAVEUSDT,2026-04-23,R2,3058112.8843,4122617.1526,-1064504.2683,-14.824457,1701,2215
AAVEUSDT,2026-04-23,W,279195.5,0.0,279195.5,100.0,2,0
AAVEUSDT,2026-04-24,M,529265.3348,505782.4398,23482.895,2.268774,24,22
AAVEUSDT,2026-04-24,R1,7449767.9932,7034309.0314,415458.9618,2.868384,37863,35214
AAVEUSDT,2026-04-24,R2,3744315.6389,3874441.3935,-130125.7546,-1.707966,2217,2254
AAVEUSDT,2026-04-25,M,133451.0243,373327.5735,-239876.5492,-47.333599,8,21
AAVEUSDT,2026-04-25,R1,3984891.6109,4087582.7147,-102691.1038,-1.272114,19912,19876
AAVEUSDT,2026-04-25,R2,2622751.8465,3128601.0298,-505849.1833,-8.795308,1379,1640
AAVEUSDT,2026-04-26,M,286482.1355,316092.8291,-29610.6936,-4.914027,9,12
AAVEUSDT,2026-04-26,R1,4994166.0194,3746517.7973,1247648.2221,14.274034,28916,20823
AAVEUSDT,2026-04-26,R2,2309894.2274,2177783.0734,132111.154,2.943865,1237,1202
AAVEUSDT,2026-04-27,M,731551.4972,940463.1873,-208911.6901,-12.494609,27,35
AAVEUSDT,2026-04-27,R1,7353227.1729,6069878.8593,1283348.3136,9.56074,47015,41437
AAVEUSDT,2026-04-27,R2,4673869.5988,5000239.1595,-326369.5607,-3.37364,2320,2599
AAVEUSDT,2026-04-28,M,293666.9211,157643.6251,136023.296,30.139623,15,7
AAVEUSDT,2026-04-28,R1,4292557.1347,3927790.0096,364767.1251,4.437369,24761,22255
AAVEUSDT,2026-04-28,R2,1976040.4147,2528439.1014,-552398.6867,-12.263319,1047,1377
AAVEUSDT,2026-04-29,M,100586.8552,393961.8447,-293374.9895,-59.321759,7,18
AAVEUSDT,2026-04-29,R1,5955714.6116,5467608.7003,488105.9113,4.272889,33978,34159
AAVEUSDT,2026-04-29,R2,3388076.6039,3625463.7805,-237387.1766,-3.384698,1802,1995
AAVEUSDT,2026-04-30,M,111661.8549,302924.7263,-191262.8714,-46.133397,7,9
AAVEUSDT,2026-04-30,R1,2990243.7058,2940482.83,49760.8758,0.839035,18705,19073
AAVEUSDT,2026-04-30,R2,1337092.1639,1132677.0525,204415.1114,8.276689,673,600
AAVEUSDT,2026-05-01,M,518235.2971,430427.2799,87808.0172,9.25598,23,18
AAVEUSDT,2026-05-01,R1,3932116.8549,3994811.395,-62694.5401,-0.790906,24744,26912
AAVEUSDT,2026-05-01,R2,1968472.8594,2150261.9579,-181789.0985,-4.413712,1033,1059
AAVEUSDT,2026-05-01,W,143883.8856,0.0,143883.8856,100.0,1,0
AAVEUSDT,2026-05-02,M,434898.6577,290273.41,144625.2477,19.943577,16,11
AAVEUSDT,2026-05-02,R1,2131888.3553,1757346.7724,374541.5829,9.630212,14063,8938
AAVEUSDT,2026-05-02,R2,987760.8831,1412762.5963,-425001.7132,-17.704543,541,647
AAVEUSDT,2026-05-02,W,0.0,118299.7237,-118299.7237,-100.0,0,1
AAVEUSDT,2026-05-03,M,398873.4481,341573.9743,57299.4738,7.738493,16,17
AAVEUSDT,2026-05-03,R1,3110110.6853,2820891.3167,289219.3686,4.8764,19048,14516
AAVEUSDT,2026-05-03,R2,1825674.575,1614053.8266,211620.7484,6.152252,877,835
AAVEUSDT,2026-05-03,W,100337.0644,107359.4542,-7022.3898,-3.381082,1,1
AAVEUSDT,2026-05-04,M,738401.9187,743440.5874,-5038.6687,-0.340027,26,32
AAVEUSDT,2026-05-04,R1,4874859.4925,4400267.0533,474592.4392,5.11683,31490,30350
AAVEUSDT,2026-05-04,R2,2669998.7514,2866588.483,-196589.7316,-3.550738,1307,1406
AAVEUSDT,2026-05-04,W,206560.2119,258193.0508,-51632.8389,-11.109731,2,2
AAVEUSDT,2026-05-05,M,200772.5583,342892.2372,-142119.6789,-26.141049,10,14
AAVEUSDT,2026-05-05,R1,3198447.5509,2794729.2809,403718.27,6.736298,21362,16959
AAVEUSDT,2026-05-05,R2,1357682.1221,1553257.3207,-195575.1986,-6.718628,698,787
AAVEUSDT,2026-05-06,M,415731.4063,443361.5224,-27630.1161,-3.216196,16,25
AAVEUSDT,2026-05-06,R1,4711670.8841,4872846.8421,-161175.958,-1.681628,29646,31405
AAVEUSDT,2026-05-06,R2,2512267.8044,3046933.6148,-534665.8104,-9.617673,1314,1528
AAVEUSDT,2026-05-06,W,403607.9145,300359.271,103248.6435,14.666684,2,2
AAVEUSDT,2026-05-07,M,682125.8781,524697.4519,157428.4262,13.044861,20,22
AAVEUSDT,2026-05-07,R1,4637493.8061,4229091.8218,408401.9843,4.60608,32572,32062
AAVEUSDT,2026-05-07,R2,2506780.6988,2761457.4087,-254676.7099,-4.834191,1256,1405
AAVEUSDT,2026-05-07,W,164656.6339,251185.0385,-86528.4046,-20.808017,1,2
AAVEUSDT,2026-05-08,M,434181.0818,271707.684,162473.3978,23.016856,18,13
AAVEUSDT,2026-05-08,R1,4263723.0662,3985770.0657,277953.0005,3.369334,39288,22061
AAVEUSDT,2026-05-08,R2,2435345.224,2683550.1429,-248204.9189,-4.848798,1226,1370
AAVEUSDT,2026-05-08,W,203910.074,0.0,203910.074,100.0,1,0
AAVEUSDT,2026-05-09,M,354295.0651,540482.7741,-186187.709,-20.808261,20,22
AAVEUSDT,2026-05-09,R1,4748910.6312,4303386.0802,445524.551,4.921674,29364,28106
AAVEUSDT,2026-05-09,R2,2854649.4342,2793745.0425,60904.3917,1.07826,1436,1519
AAVEUSDT,2026-05-09,W,112028.8535,0.0,112028.8535,100.0,1,0
AAVEUSDT,2026-05-10,M,1027065.7543,1295706.6957,-268640.9414,-11.56553,50,53
AAVEUSDT,2026-05-10,R1,7376333.1778,7820851.8118,-444518.634,-2.925006,50142,47443
AAVEUSDT,2026-05-10,R2,4830534.1284,5530594.3627,-700060.2343,-6.756602,2487,2913
AAVEUSDT,2026-05-10,W,307710.2369,122507.3507,185202.8862,43.048655,2,1
AAVEUSDT,2026-05-11,M,1004386.7791,837495.517,166891.2621,9.060908,29,33
AAVEUSDT,2026-05-11,R1,5558955.6346,6287438.8231,-728483.1885,-6.149409,38613,40013
AAVEUSDT,2026-05-11,R2,3523528.8038,4298301.97,-774773.1662,-9.905266,1860,2251
AAVEUSDT,2026-05-11,W,0.0,145569.9721,-145569.9721,-100.0,0,1
AAVEUSDT,2026-05-12,M,509331.5619,472627.7392,36703.8227,3.737815,21,22
AAVEUSDT,2026-05-12,R1,4305513.9837,4381627.2838,-76113.3001,-0.87616,27655,32145
AAVEUSDT,2026-05-12,R2,2837190.2608,3789524.311,-952334.0502,-14.371134,1401,1901
AAVEUSDT,2026-05-12,W,0.0,234521.1648,-234521.1648,-100.0,0,2
AAVEUSDT,2026-05-13,M,448207.9923,481814.3135,-33606.3212,-3.613496,21,24
AAVEUSDT,2026-05-13,R1,3089705.3098,4105994.1006,-1016288.7908,-14.123558,24267,29182
AAVEUSDT,2026-05-13,R2,2623947.7076,3216606.6174,-592658.9098,-10.147306,1359,1656
AAVEUSDT,2026-05-14,M,457480.2362,316146.6532,141333.583,18.268959,21,16
AAVEUSDT,2026-05-14,R1,4957271.8339,4534640.0309,422631.803,4.452547,32648,27391
AAVEUSDT,2026-05-14,R2,2360291.6521,2715440.2973,-355148.6452,-6.996994,1237,1482
AAVEUSDT,2026-05-15,M,375985.2665,417487.4876,-41502.2211,-5.230453,16,23
AAVEUSDT,2026-05-15,R1,6215814.4482,4969984.5346,1245829.9136,11.137603,35361,27478
AAVEUSDT,2026-05-15,R2,4095683.7849,3720151.9507,375531.8342,4.804756,2181,1960
AAVEUSDT,2026-05-15,W,116425.1715,0.0,116425.1715,100.0,1,0
AAVEUSDT,2026-05-16,M,84591.9378,332783.0149,-248191.0771,-59.464775,6,15
AAVEUSDT,2026-05-16,R1,3492708.1201,3365427.3853,127280.7348,1.855909,18391,18858
AAVEUSDT,2026-05-16,R2,1864643.0918,2202898.1757,-338255.0839,-8.315959,1047,1252
AAVEUSDT,2026-05-17,M,192071.1744,100806.9696,91264.2048,31.161152,9,4
AAVEUSDT,2026-05-17,R1,3795906.7411,3021443.3459,774463.3952,11.360182,20571,14344
AAVEUSDT,2026-05-17,R2,1269178.1977,1638475.9965,-369297.7988,-12.700884,822,1001
AAVEUSDT,2026-05-18,M,304464.2785,304269.0424,195.2361,0.032073,17,21
AAVEUSDT,2026-05-18,R1,5817133.4165,5076677.0815,740456.335,6.797037,36304,25166
AAVEUSDT,2026-05-18,R2,3086502.4347,3657022.888,-570520.4533,-8.46027,1693,2067
AAVEUSDT,2026-05-19,M,57427.692,104985.0232,-47557.3312,-29.281778,2,7
AAVEUSDT,2026-05-19,R1,2775404.9736,2491536.1027,283868.8709,5.389634,17816,15223
AAVEUSDT,2026-05-19,R2,1224770.2614,1396886.2355,-172115.9741,-6.565161,662,769
AAVEUSDT,2026-05-20,M,187374.3807,212670.7189,-25296.3382,-6.323372,8,9
AAVEUSDT,2026-05-20,R1,3323491.9087,3104001.3907,219490.518,3.41487,18967,17089
AAVEUSDT,2026-05-20,R2,1726521.8313,1814451.5753,-87929.744,-2.483208,961,1020
AAVEUSDT,2026-05-20,W,0.0,105439.2468,-105439.2468,-100.0,0,1
AAVEUSDT,2026-05-21,M,308875.6246,291596.3869,17279.2377,2.877609,15,14
AAVEUSDT,2026-05-21,R1,3424887.7298,2780120.628,644767.1018,10.391075,25550,17964
AAVEUSDT,2026-05-21,R2,2239162.2204,2248466.0646,-9303.8442,-0.207322,1207,1145
AAVEUSDT,2026-05-22,M,217214.5671,215608.4288,1606.1383,0.371084,10,14
AAVEUSDT,2026-05-22,R1,5335615.5958,4501214.2272,834401.3686,8.482422,29624,24782
AAVEUSDT,2026-05-22,R2,2284878.7878,2455582.1055,-170703.3177,-3.600986,1276,1428
AAVEUSDT,2026-05-22,W,0.0,211638.4375,-211638.4375,-100.0,0,1
AAVEUSDT,2026-05-23,M,346730.8411,214466.895,132263.9461,23.568154,16,14
AAVEUSDT,2026-05-23,R1,2782606.8464,2778027.2691,4579.5773,0.082357,19594,19611
AAVEUSDT,2026-05-23,R2,1462883.5585,1995061.2235,-532177.665,-15.389999,801,1026
AAVEUSDT,2026-05-24,M,63839.6544,328907.997,-265068.3426,-67.490752,5,17
AAVEUSDT,2026-05-24,R1,2146409.7977,2257487.4315,-111077.6338,-2.522258,12698,15860
AAVEUSDT,2026-05-24,R2,1333605.3487,1444945.5622,-111340.2135,-4.007132,763,778
AAVEUSDT,2026-05-25,M,169506.918,33605.956,135900.962,66.909083,9,2
